Rank,Feature,Model_ready_alias,Pearson_r,Absolute_r,Univariate_R2,p_value_nominal
1,Heparin_pB_buffer,Heparin_pB_buffer,-0.5590867571252615,0.5590867571252615,0.3125780019928411,0.00011878356211958081
2,BVP_high,BVP_high,-0.501451792417139,0.501451792417139,0.25145390011836144,0.000717061340429258
3,Heparin_RT,Heparin_RT,-0.4987915613928858,0.4987915613928858,0.24879302171675294,0.0007733047720796268
4,"SE-UHPLC % LMW, t = 4 wk 40C, 1 mg/mL A52Su",SEC_LMW_4wk_40C,-0.4004831301347916,0.4004831301347916,0.1603867375225604,0.00858601695039984
5,FcRn_RT,FcRn_RT,-0.3335720246660346,0.3335720246660346,0.11127029563979758,0.03086497658505958
6,poly_D_lysine,poly_D_lysine,-0.3155327837052323,0.3155327837052323,0.09956093759277292,0.04180047412925194
7,PEI,PEI,-0.29242583562094576,0.29242583562094576,0.0855128693386084,0.06020984150482931
8,membrane_prep,membrane_prep,-0.28928348116305297,0.28928348116305297,0.08368493247381442,0.06314862670356199
9,AC-SINS DiffC (µm²/s),AC_SINS_DiffC,0.24340137881351281,0.24340137881351281,0.05924423120831916,0.12035605489554117
