model,test_R2,test_nRMSE,test_nMAE,cv_R2_mean,cv_R2_sd
Transformer,0.7911,0.1502,0.1081,0.4219,0.1076
Ridge,0.5985,0.2082,0.1517,0.2696,0.3056
SVR,0.0234,0.3247,0.2338,-0.0335,0.1230
RandomForest,0.6222,0.2020,0.1529,0.4171,0.2681
