condition,condition_display,mean_test_r2,sd_test_r2,mean_test_rmse,sd_test_rmse,mean_test_mae,sd_test_mae,mean_test_spearman,n_seeds,condition_order
full,Full,0.7095713740671867,0.0436436555370661,5.0355391889293255,0.3649038853795424,3.260609300032906,0.2838260440403456,0.8743949712659431,5,0
top2,"Top2 (kD, Plates)",0.566257014440302,0.09570513432076973,6.13970064000706,0.6444637589551995,4.252485630201257,0.5044094486959319,0.7831669780403587,5,1
ht_assays,HT assays,0.5109926140304266,0.04213881665009788,6.5430827095764785,0.27734682852642467,4.459242906985075,0.18037065331780483,0.6834141965613696,5,2
no_kd,No kD,0.28598783758479085,0.019447707408345262,7.911471373416555,0.10762126310895694,5.102585170579992,0.09104557100551251,0.5526246227481116,5,3
