n_real,percent_of_total_75,mean_test_r2,sd_test_r2,mean_test_rmse,mean_test_mae,n_seeds
16,21.333333333333332,0.5392839786315212,0.0,6.355551720411357,4.017077462569526,1
21,28.0,0.6012335662902417,0.0,5.912836863745056,3.986177286894424,1
26,34.666666666666664,0.6362784251124833,0.0,5.64704347407112,4.0974294745403785,1
31,41.333333333333336,0.6540995342511675,0.0,5.506963184786765,3.8136212141617487,1
36,48.0,0.6752636242172156,0.0,5.335831044265709,3.7414142691570786,1
42,56.0,0.5980371754414024,0.0,5.936487318549126,4.238668018838634,1
47,62.666666666666664,0.630395159730611,0.0,5.69253126754668,3.8802903133889908,1
52,69.33333333333333,0.7408859217450339,0.0,4.766308016785,3.0832337172135063,1
