metric,mean,std,median,min,max,n_seeds
balanced_accuracy,0.8068181818181818,0.04666937221594372,0.8333333333333333,0.7083333333333334,0.875,11
log_loss,0.61479387445135,0.058626123393161006,0.6056889838239082,0.4896512575027808,0.7175802309495313,11
accuracy,0.6688311688311689,0.080004638084475,0.7142857142857143,0.5,0.7857142857142857,11
recall_approved,1.0,0.0,1.0,1.0,1.0,11
recall_terminated,0.6136363636363638,0.0933387444318875,0.6666666666666666,0.4166666666666667,0.75,11
