Heparin_pB_buffer,BVP_high,Heparin_RT,SEC_LMW_4wk_40C,AUCt
7.3,0.0639,11.1,3.498332784,792.01
4.066503015803983,0.0631,3.99,3.420930375081912,529.36
5.2,0.0617,6.84,3.314918867,966.52
6.8,0.0714,10.2,3.513821345,754.2
6.4,0.065,9.31,3.495903631,841.78
4.4,0.0657,5.09,3.343856337,695.866
5.7,0.0631,7.76,2.997738813,767.54
11.635778283882635,0.07432228404575587,20.2,3.135431049,182.07
6.6,0.0641,9.7,3.138945804,503.334
4.8,0.06471422422464475,5.88,3.223669610963996,970.326
3.4785079174614553,0.0636,3.92,2.908613923,1318.0
5.3,0.0664,7.0,3.000436885,864.676
6.2,0.0699,8.9,3.019851429,958.21
6.8,0.0763,10.2,3.855898964,550.971
9.5,0.0698,15.2,3.586893466,566.96
5.8,0.0623,8.13,3.336898895,862.26
11.2,0.0714,18.0,3.176256374,613.74
5.5,0.0758,7.33,3.418661318,536.93
6.8,0.0723,10.0,3.288370852,898.37
4.174997093922105,0.0608,3.95,3.077019075,636.6
5.7,0.0615,7.95,3.371317896,963.96
11.627042742918672,0.07235355988289865,19.65848599865741,3.3049560398128337,408.26
10.9,0.07274957722983888,17.7,3.301143198,385.51
6.8490961014001295,0.0645,10.139590266012885,3.335371568,1014.2
4.0083852873803725,0.06362080831529207,3.0,3.4078746445153785,557.94
8.7,0.0684,13.7,3.2590951,565.019
9.8,0.0711,15.7,3.338303044091786,712.253
9.0,0.0643,14.8,3.3449302946959785,696.87
3.839186819270009,0.0622,3.12,3.916004076,585.4
5.9,0.0685,8.21,3.213247117,960.4
7.6,0.0622,11.6,3.466623098,849.95
7.1,0.0708,10.7,3.56684254,603.66
8.1,0.07139742207402229,12.7,3.265016796,288.73
6.0,0.0651,13.9,3.071618686,974.07
4.4,0.0605,5.11,3.3113284762649013,1062.979
7.3,0.069,11.3,3.955546147,780.58
7.9,0.06690997289463461,12.2,3.046217843,842.54
5.6,0.0685,7.63,3.111384479726711,1222.1
9.8,0.0666,15.6,3.094371336,683.154
3.625778662734101,0.06271220271396377,3.95,3.1313489826371956,1177.8
6.9,0.0711,10.3,3.240887765,837.28
9.4,0.0674,15.0,3.176837526,841.23
