Endpoint,Selected_panel,CV_selected_head,Mean_CV_R2,CV_R2_SD,Heldout_R2,RMSE,MAE,nRMSE,nMAE,Spearman_rho
Viscosity,FWHM; kD; plates; AC-SINS Δλmax,KAN,0.621,0.189,0.7408859217450339,4.766308016785,3.0832337172135063,,,0.8759268413247651
Mouse exposure,Heparin %B; BVP-high; Heparin RT; SEC-LMW 4 wk,MLP,0.533,0.129,0.6666545412334655,142.72920614374263,113.50885094105115,0.18972053306411532,0.15087983945166464,0.8272727272727273
