6.254376173019409180e-01,3.745624423027038574e-01
3.365164101123809814e-01,6.634836196899414062e-01
3.595832288265228271e-01,6.404167413711547852e-01
3.042232394218444824e-01,6.957767605781555176e-01
3.778703808784484863e-01,6.221296191215515137e-01
4.616560935974121094e-01,5.383439064025878906e-01
3.343794345855712891e-01,6.656206250190734863e-01
5.129718780517578125e-01,4.870280623435974121e-01
6.374181509017944336e-01,3.625818789005279541e-01
4.848794937133789062e-01,5.151205062866210938e-01
6.535404324531555176e-01,3.464595675468444824e-01
4.927674233913421631e-01,5.072325468063354492e-01
6.645810604095458984e-01,3.354189395904541016e-01
6.326609253883361816e-01,3.673390746116638184e-01
