cohort,TP,FN,FP,TN,n,sensitivity,sensitivity_wilson95_low,sensitivity_wilson95_high,specificity,specificity_wilson95_low,specificity_wilson95_high,balanced_accuracy,balanced_accuracy_bootstrap95_low,balanced_accuracy_bootstrap95_high,MCC,MCC_bootstrap95_low,MCC_bootstrap95_high,log_loss,brier_score,bootstrap_seed,bootstrap_resamples_requested,bootstrap_valid_resamples
training_in_sample_ensemble,32,19,11,27,89,0.6274509803921569,0.4902521346885088,0.7467948053373558,0.7105263157894737,0.5524286232424794,0.8299672217151693,0.6689886480908153,0.5704261954261954,0.7653439153439154,0.3345424784209508,0.13926302056804027,0.5269802456486619,0.6363891062438104,0.22217213565250826,20260805,50000,50000
internal_test,10,3,2,8,23,0.7692307692307693,0.49743624053272495,0.9182047128150143,0.8,0.49016247153664183,0.9433178485456247,0.7846153846153847,0.5992063492063493,0.9444444444444444,0.5649019553110248,0.1953363462243731,0.90571104663684,0.6208326999829141,0.21444624830747877,20260805,50000,50000
external_resolved,2,0,4,8,14,1.0,0.34238022750665303,1.0,0.6666666666666666,0.39062208887279953,0.8618799089087867,0.8333333333333333,0.6923076923076923,0.9583333333333333,0.47140452079103173,0.24019223070763068,0.8257228238447705,0.6237577995375106,0.2163203572277562,20260805,50000,44203
