feature,threshold,youden_J
BVP,3.1572000000000005,0.3302373581011353
AS,0.05,0.32404540763673895
ELISA,1.8260000000000005,0.27708978328173384
ACSINS,11.2,0.19814241486068118
PSR,0.0,0.19349845201238391
