mouse2_row,mAb_name,split_extended55,original_DataS2_mAb_id,manuscript_outlier_removed,FcRn_RT,AC-SINS DiffC (µm²/s),Heparin_RT,Heparin_pB_buffer,BVP_high,membrane_prep,poly_D_lysine,PEI,"SE-UHPLC % LMW, t = 4 wk 40C, 1 mg/mL A52Su",AUC (ng∙h/mL)
39,Ab58,train,,yes,41.5,0.69,13.9,8.8,0.0639,9.53,4.32,5.16,3.334592678,1340.4
40,Ab59,train,CLR_027,no,40.2,1.81,11.6,7.6,0.0622,4.16,2.03,3.31,3.466623098,849.95
41,Ab61,test,CLR_043,no,38.4,1.11,7.45,5.5,0.0611,4.99,1.99,3.77,3.194581335,1003.3
42,Ab62,train,CLR_031,no,41.4,0.28,10.7,7.1,0.0708,14.0,5.05,7.38,3.56684254,603.66
43,Ab63,train,CLR_021,no,41.2,0.81,12.7,8.1,0.0985,8.0,3.02,3.13,3.265016796,288.73
44,Ab64,train,CLR_037,no,39.7,0.45,13.9,6.0,0.0651,2.75,1.4,2.13,3.071618686,974.07
45,Ab65,train,CLR_000,no,38.5,5.05,5.11,4.4,0.0605,4.45,2.02,2.66,2.877290988,1062.979
46,Ab66,train,CLR_040,no,39.4,1.59,11.3,7.3,0.069,5.76,3.09,2.81,3.955546147,780.58
47,Ab69,train,CLR_018,no,40.6,1.01,12.2,7.9,0.117,8.1,4.81,6.82,3.046217843,842.54
48,Ab70,train,CLR_010,no,40.9,0.95,7.63,5.6,0.0685,2.67,1.53,2.82,0.892656292,1222.1
49,Ab73,test,CLR_045,no,39.7,0.45,13.1,8.4,0.0668,5.84,3.11,4.63,3.289005619,752.3
50,Ab74,train,CLR_022,no,39.7,0.46,15.6,9.8,0.0666,6.74,3.34,3.43,3.094371336,683.154
51,Ab75,test,CLR_042,no,39.5,0.42,15.7,9.9,0.0643,8.15,4.92,6.24,2.935143086,739.34
52,Ab76,train,,yes,39.7,1.28,31.5,19.0,1.669,10.2,4.54,5.2,4.909651485,157.65
53,Ab77,train,CLR_001,no,40.9,1.13,3.95,0.0,0.134,3.62,1.4,3.01,0.890722442,1177.8
54,Ab78,train,CLR_004,no,40.6,2.47,10.3,6.9,0.0711,6.16,2.19,5.17,3.240887765,837.28
55,Ab80,train,CLR_024,no,39.6,0.8,15.0,9.4,0.0674,9.25,3.3,4.58,3.176837526,841.23
