endpoint,mode,pooling,fold,split,n,r2,rmse,mae,spearman,elapsed_seconds,ensemble_folds
clearance,full,avg,1,cv_validation,34,0.4363479283634072,188.74697695240224,153.50906127929687,0.7136308068459658,9.466567039489746,
clearance,full,avg,2,cv_validation,34,0.5636082659011313,178.67668869824223,126.44560712028954,0.6967219398348634,22.297056436538696,
clearance,full,avg,3,cv_validation,34,0.6491190560194708,176.49634401184585,133.50171938189337,0.7658566406847013,36.12251806259155,
clearance,full,avg,4,cv_validation,33,0.2711243500267081,211.50163127358334,151.97601727849786,0.555360576853333,43.76050853729248,
clearance,full,avg,5,cv_validation,33,-0.2810907977919206,220.26042173997098,175.04868096738872,0.45469743196346857,52.95726251602173,
clearance,full,avg,ensemble,heldout_test,11,0.7075938406400994,122.5504599499804,95.97975454989347,0.8636363636363636,53.212921142578125,5.0
