endpoint,mode,pooling,fold,split,n,r2,rmse,mae,spearman,elapsed_seconds,ensemble_folds
clearance,full,avg,1,cv_validation,34,-0.44162631080268167,243.78566896462377,191.15312387264476,0.45774109735595303,14.224814891815186,
clearance,full,avg,2,cv_validation,34,0.6359896962133496,136.56811532415657,108.45578075453814,0.7581779360970581,58.06555199623108,
clearance,full,avg,3,cv_validation,34,0.5719401245985365,161.80750817532336,126.62359139476102,0.7048754394008865,71.29069924354553,
clearance,full,avg,4,cv_validation,33,0.4268225223568102,217.62023842124776,165.07735094105115,0.675971586146918,90.35368776321411,
clearance,full,avg,5,cv_validation,33,0.1711389045020365,229.0561233142426,183.67047156871448,0.5476429287863591,102.13047313690186,
clearance,full,avg,ensemble,heldout_test,11,0.48446620226049153,187.21822331479137,147.7323464577415,0.7090909090909092,102.38420104980469,5.0
