endpoint,mode,pooling,fold,split,n,r2,rmse,mae,spearman,elapsed_seconds,ensemble_folds
viscosity,full,avg,1,cv_validation,26,0.1453776931095968,6.298979501363234,3.960098618727464,0.4360027378507872,5.834838390350342,
viscosity,full,avg,2,cv_validation,26,0.6094202150076502,4.852479653234412,3.2813224572401785,0.7959254602283461,24.353197813034058,
viscosity,full,avg,3,cv_validation,26,0.7569584401386826,4.879996529004123,3.59544086089501,0.6427106228307657,37.86609625816345,
viscosity,full,avg,4,cv_validation,26,0.6551255216365801,7.269030927606631,4.70283217063317,0.8547476600714885,43.70787739753723,
viscosity,full,avg,5,cv_validation,26,0.8357585244505761,4.258309995529107,3.31795439353356,0.8756849315068492,51.09322810173035,
viscosity,full,avg,ensemble,heldout_test,23,0.604789511003853,7.073829008172034,4.293979935024096,0.7859615394248384,51.34216856956482,5.0
