endpoint,mode,pooling,fold,split,n,r2,rmse,mae,spearman,elapsed_seconds,ensemble_folds
viscosity,full,avg,1,cv_validation,26,0.8774892897397852,3.220392883954085,2.4757400952852695,0.885885385078096,15.591596603393555,
viscosity,full,avg,2,cv_validation,26,0.4363092857128662,6.746969253528619,5.152845613773053,0.7607320104417977,37.459197998046875,
viscosity,full,avg,3,cv_validation,26,0.6692689715204643,4.799583651745215,3.6087778238149784,0.6373137727142792,55.09633207321167,
viscosity,full,avg,4,cv_validation,26,0.6365248962107897,4.579789955786604,3.817187096522405,0.8046986425991843,84.79176759719849,
viscosity,full,avg,5,cv_validation,26,0.7840635487418817,4.504822946893517,3.064281485630916,0.5663292324279088,98.13933420181274,
viscosity,full,avg,ensemble,heldout_test,23,0.4972202796499946,8.704024690308435,6.160626519244649,0.738818900736305,98.8192446231842,5.0
