Model,CV_R2_mean,CV_R2_SD,CV_RMSE_mean,CV_RMSE_SD,CV_MAE_mean,CV_MAE_SD,Test_R2,Test_RMSE,Test_MAE
ACeT,0.621021348,0.211538661,6.200162607,1.917280118,4.209653997,0.944405326,0.740886152,4.766305896,3.083233261
Ridge,0.532820179,0.128286102,7.010086351,0.704004291,5.539532122,0.572198271,0.526462268,6.443382227,5.088326022
SVR,0.435021453,0.080011115,7.795257979,0.983509997,5.311666879,0.787779950,0.535992609,6.378213449,4.236268781
Random forest,0.677973647,0.162780617,5.704407101,1.341494521,3.972788424,0.557214731,0.478726304,6.760355046,4.612960063
