DLS Interaction Parameter kD (mL/g),SE-UHPLC Main Peak Plates (EP),AC-SINS λmax (nm),SE-UHPLC Main Peak FWHM (min),Viscosity
17.82752975,5497,18,0.088,22.7
-9.381179345,5164,-2,0.087,19.7
-1.271482613,3024,36,0.132,45.0
23.88153183,4625,-2,0.103,14.6
43.42111781,5963,18,0.083,9.1
21.06365829,4507,0,0.106,9.9
7.061636953,6046,0,0.083,13.8
33.32713191,5590,28,0.087,11.9
1.56234145,5491,-2,0.085,25.9
36.38462805,6041,4,0.085,13.1
23.51061753,6378,0,0.08,11.7
18.16243663,2458,42,0.151,25.6
17.65658093,1135,40,0.185,27.3
34.23423188,5725,6,0.086,5.5
35.83177546,4409,36,0.101,14.8
23.77929008,5926,2,0.085,7.6
27.35986799,2940,36,0.135,20.1
39.5490345,5615,38,0.087,10.6
43.90886439,6209,36,0.082,10.9
-1.563440414,5637,4,0.084,30.1
12.09586296,7754,2,0.072,8.9
23.18706601,3870,2,0.118,9.3
6.974018353,5504,22,0.087,21.7
9.182518246,4268,34,0.102,42.1
22.47012914,6703,2,0.078,17.6
38.4266892,6289,0,0.082,8.1
38.433618,6376,14,0.082,6.0
26.22706981,5824,-2,0.084,10.4
43.97650114,5242,0,0.09,12.0
33.15951616,3137,54,0.119,17.1
42.91058531,5543,0,0.089,10.3
34.21947166,5895,26,0.084,10.0
27.72608335,5349,8,0.093,12.1
10.87131546,1080,46,0.179,40.0
38.1016525,5627,30,0.089,10.8
21.51677942,5851,30,0.085,11.9
39.99593116,4548,4,0.096,9.9
24.38684351,6008,-2,0.082,8.4
49.13422809,6126,24,0.082,13.8
29.99670572,5818,2,0.084,6.1
25.23252093,5137,44,0.095,13.9
18.10874581,5472,2,0.09,11.4
27.34316674,4797,44,0.094,21.2
36.46267807,5722,18,0.086,10.8
32.06014622,4455,8,0.106,15.0
31.79865021,4106,40,0.104,26.4
27.95191599,3386,50,0.136,15.0
21.66480752,4561,36,0.099,16.6
33.76620215,5024,2,0.09,9.1
-0.698763767,6090,2,0.081,34.2
20.23601383,5613,0,0.086,15.3
32.70658699,6332,4,0.082,10.9
