model,input_features,train_n,test_n,predictor_transform,target_transform,ridge_alpha,ridge_solver,test_r2,test_rmse_cP,test_mae_cP,table_s4_r2_2dp,table_s4_rmse_2dp,table_s4_mae_2dp,exact_reference_pass,rounded_table_s4_pass,intercept,coefficients
Ridge (kD-only),DLS Interaction Parameter kD (mL/g),52,23,"QuantileTransformer(output_distribution='normal', fit on train only)",none,1.0,cholesky,0.2663894530150399,8.019907938397107,5.893355705879815,0.27,8.02,5.89,True,True,16.444230769237034,[-3.3304592951463317]
Ridge (kD + SEC plates),DLS Interaction Parameter kD (mL/g); SE-UHPLC Main Peak Plates (EP),52,23,"QuantileTransformer(output_distribution='normal', fit on train only)",none,1.0,cholesky,0.47836008439381883,6.76272936223998,5.1618703752893,0.48,6.76,5.16,True,True,16.444180919472032,"[-2.7235949244881206, -3.5346362231521273]"
