cohort,TP,FN,FP,TN,n,sensitivity,sensitivity_wilson95_low,sensitivity_wilson95_high,specificity,specificity_wilson95_low,specificity_wilson95_high,balanced_accuracy,balanced_accuracy_bootstrap95_low,balanced_accuracy_bootstrap95_high,MCC,MCC_bootstrap95_low,MCC_bootstrap95_high,log_loss,brier_score,bootstrap_seed,bootstrap_resamples_requested,bootstrap_valid_balanced_accuracy_resamples,bootstrap_valid_MCC_resamples
Internal test,10,3,2,8,23,0.7692307692307693,0.49743624053272495,0.9182047128150143,0.8,0.49016247153664183,0.9433178485456247,0.7846153846153847,0.6022727272727273,0.9444444444444444,0.5649019553110248,0.1953363462243731,0.90571104663684,not computed: probability file not found,not computed: probability file not found,20260630,50000,50000,50000
External cohort,2,0,4,8,14,1.0,0.34238022750665303,1,0.6666666666666666,0.39062208887279953,0.8618799089087867,0.8333333333333333,0.6923076923076923,0.9583333333333333,0.47140452079103173,0.24019223070763068,0.848528137423857,not computed: probability file not found,not computed: probability file not found,20260630,50000,44362,44362
