mab_id,titer_mg_L,up_sec_pct_hmw,up_sec_pct_main,up_sec_pct_lmw,up_sec_retention_time_min,hp_rp_pct_pre,hp_rp_pct_main,hp_rp_pct_post,ce_sds_nr_pct_lmw,ce_sds_nr_pct_main,ce_sds_nr_pct_hmw,ce_sds_red_pct_lc,ce_sds_red_pct_hc,ce_sds_red_pct_others,nano_dsf_tonset_c,nano_dsf_tm1_c,nano_dsf_tagg_c,ac_sins_naac_ph_5_5,ac_sins_pbs_ph_7_4,low_ph_hold_up_sec_pct_hmw,low_ph_hold_up_sec_pct_main,low_ph_hold_up_sec_pct_lmw,low_ph_hold_up_sec_retention_time_min,cief_pi,patch_cdr_hyd,patch_hyd,patch_cdr_ion,patch_ion,isotype_igg4,hic_rt_min
mAb107,666.5,1.45,98.55,0.0,2.406,1.4200000000000046,97.38,1.2,0.0,100.0,0.0,31.21,67.63,1.15,57.94287109375,65.6785405001343,64.1491546630859,576.0,541.0,5.26,94.3,0.44,2.412,7.21,274,652,414,1162,1,25.08
mAb108,631.8,7.94,91.89,0.17,2.389,2.600000000000003,94.91,2.49,0.0,100.0,0.0,31.61,66.24,2.15,54.8773002624512,61.0996624000196,58.4356269836426,575.0,537.0,10.23,89.31,0.45,2.396,7.45,292,708,416,1194,1,25.04
mAb109,746.8,1.49,98.41,0.1,2.387,0.3899999999999943,97.4,2.21,0.0,100.0,0.0,32.04,66.88,1.08,57.9405937194824,64.1907057824277,61.6935539245605,575.0,537.0,7.93,91.72,0.35,2.389,7.45,292,722,426,1178,1,24.71
mAb110,671.1,5.46,94.49,0.05,2.384,0.3,97.4,2.1,0.0,100.0,0.0,32.11,66.9,0.99,58.0992813110352,64.1330973406911,59.7930145263672,576.0,538.0,8.12,91.64,0.24,2.402,7.45,294,718,358,1140,1,24.86
mAb111,676.0,1.27,98.49,0.03,2.4,0.9125,98.18,0.9008,0.7,97.2,2.09,31.27,67.78,0.95,57.8,65.8,66.4,576.0,539.0,5.97,93.72,0.31,2.4,7.2,282,728,418,1140,1,25.31
mAb112,150.4,11.79,88.2,0.0,2.445,0.0,100.0,0.0,0.0,100.0,0.0,36.25,63.65,0.4,58.63374901,64.90557555,73.76879883,549.0,553.0,10.3,89.73,0.0,2.445,8.02,170,590,290,1268,1,33.75
mAb113,154.6,10.9,88.09,0.0,2.434,0.0,100.0,0.0,0.0,100.0,0.0,35.67,63.72,0.61,59.14355469,65.48741082,72.7158432,550.0,552.5,9.3,90.66,0.0,2.434,8.01,174,580,318,1274,1,33.8
mAb114,43.3,2.47,97.53,0.0,2.374,0.0,75.01,24.99,0.0,100.0,0.0,37.37,62.63,0.0,50.86527824,75.33196746,75.56166077,549.0,550.0,3.1,96.93,0.0,2.374,8.022,152,554,378,1248,1,35.1
mAb115,33.9,4.33,95.67,0.0,2.386,2.59,87.15,10.25,0.0,100.0,0.0,38.14,61.86,0.0,52.01069641,70.45091104,75.39358521,552.5,553.0,3.2,96.75,0.0,2.386,7.913,222,568,290,1288,1,37.2
mAb116,323.3,0.0,100.0,0.0,2.395,0.28,99.72,0.0,0.0,100.0,0.0,32.83,66.77,0.41,58.2353324890137,67.0,71.0828857421875,557.5,550.5,0.57,99.43,0.0,2.5,7.407,226,656,380,1264,1,36.5
mAb117,341.5,0.0,100.0,0.0,2.39,0.0,100.0,0.0,0.0,100.0,0.0,33.23,66.32,0.45,59.6695594787598,67.3760345822042,74.0271301269531,551.5,546.0,0.97,99.03,0.0,2.494,7.48,246,676,374,1242,1,33.7
mAb118,380.8,0.0,100.0,0.0,2.399,0.0,100.0,0.0,0.0,100.0,0.0,33.36,66.2,0.44,59.7321434020996,67.6167985417509,73.1580047607422,549.5,543.0,0.73,99.27,0.0,2.503,7.691,204,612,416,1338,1,33.9
mAb119,312.6,0.26,99.74,0.0,2.394,0.0,100.0,0.0,0.0,100.0,0.0,33.4,66.17,0.42,59.9801216125488,67.2523499455238,74.0303192138672,548.0,550.5,1.6,98.4,0.0,2.49,7.474,224,604,388,1266,1,33.6
mAb120,240.6,0.29,99.71,0.0,2.389,0.0,100.0,0.0,0.0,100.0,0.0,33.31,66.22,0.47,57.1177177429199,67.4,73.2637939453125,544.5,548.5,1.39,98.61,0.0,2.498,7.441,232,660,392,1364,1,33.6
mAb121,289.6,0.14,99.86,0.0,2.521,0.0,93.46,6.54,0.0,100.0,0.0,31.76,67.66,0.58,55.8,66.1,72.6,551.5,557.0,4.43,95.57,0.0,2.368,7.422,242,674,308,1220,1,22.03
mAb122,209.5,0.57,99.43,0.0,2.413,0.0,100.0,0.0,0.0,100.0,0.0,33.5086002303499,66.0180320340133,0.473367735636799,56.5,66.9,73.1290023803711,556.0,551.0,0.62,99.38,0.0,2.618,7.639,208,624,380,1328,1,23.383
mAb123,162.6,0.83,99.17,0.0,2.396,0.0,99.22,0.78,0.0,100.0,0.0,32.95094912334,66.1138616377009,0.935189238959111,56.2,66.6,68.9,553.0,548.0,0.4,99.6,0.0,2.632,7.593,242,624,344,1272,1,22.576
mAb124,165.2,1.42,98.59,0.0,2.396,0.0,99.22,0.78,0.0,100.0,0.0,34.2567968692694,65.4433779039808,0.299825226749789,59.5,67.0,68.3,563.0,553.0,0.94,99.06,0.0,2.615,7.594,222,652,332,1324,1,22.797
mAb125,145.1,1.79,98.21,0.0,2.394,0.0,98.7,1.3,0.0,100.0,0.0,33.1931381228397,66.4860438357842,0.3208180413761,57.7,66.8,68.5,558.0,548.0,1.16,98.84,0.0,2.612,7.576,208,578,294,1308,1,21.809
mAb126,34.9,0.0,100.0,0.0,2.423,0.0,100.0,0.0,0.0,100.0,0.0,36.48049502965,63.5195049703499,9.9475983006414e-14,57.8,66.4,73.1290023803711,561.0,554.0,0.0,100.0,0.0,2.691,7.57,218,622,384,1392,1,23.552
mAb127,315.7,0.63,99.37,0.0,2.696,0.0,100.0,0.0,0.0,100.0,0.0,31.71,67.95,0.34,60.9269981384277,66.6556076954433,71.7573394775391,555.0,555.0,1.54,98.46,0.0,2.761,7.639,454,848,314,1104,1,50.0
mAb128,515.7,0.6,99.4,0.0,2.689,0.0,100.0,0.0,0.0,100.0,0.0,30.9,68.73,0.37,61.2828178405762,65.6240711515611,72.0146789550781,556.0,556.5,2.29,97.71,0.0,2.769,7.722,418,788,236,1146,1,50.0
mAb129,132.7,8.92,91.08,0.0,2.483,0.0,100.0,0.0,0.0,100.0,0.0,31.14,68.86,0.0,57.2429618835449,66.7,72.4719009399414,553.0,550.5,7.09,92.91,0.0,2.572,7.636,300,694,300,1112,1,39.2
mAb130,288.0,4.9,93.86,1.24,2.48,2.1,97.9,0.0,0.84,97.89,0.0,33.2,65.06,1.73,55.9625396728516,65.8,70.88623046875,556.0,556.5,3.78,96.22,0.0,2.573,7.95,230,614,396,1226,1,37.85
mAb131,250.2,4.4,95.6,0.0,2.489,0.0,100.0,0.0,0.0,100.0,0.0,33.07,65.6,1.33,59.5582542419434,66.4,74.169921875,557.0,557.5,1.91,98.09,0.0,2.582,7.654,216,572,302,1094,1,37.7
mAb132,831.0,8.87,87.76,3.37,2.46,0.61,99.39,0.0,0.84,99.28,0.0,31.89,67.43,0.68,59.9979515075684,66.3114264165086,77.1894454956055,552.5,552.0,5.54,94.46,0.0,2.566,7.769,286,652,318,1164,1,35.8
mAb133,298.7,3.21,96.79,0.0,2.554,0.0,100.0,0.0,0.0,100.0,0.0,35.82,63.78,0.4,58.6,66.4,74.1,562.0,562.5,4.38,95.62,0.0,2.413,7.646,280,674,328,1176,1,25.42
