DLS Interaction Parameter kD (mL/g),SE-UHPLC Main Peak Plates (EP),AC-SINS λmax (nm),SE-UHPLC Main Peak FWHM (min),Viscosity
27.35986799,2940,36,0.135,20.1
36.46267807,5722,18,0.086,10.8
49.13422809,6126,24,0.082,13.8
21.51677942,5851,30,0.085,11.9
1.56234145,5491,-2,0.085,25.9
30.47182235,4954,0,0.09,14.6
14.44466976,6749,42,0.078,10.4
43.97650114,5242,0,0.09,12.0
31.56234501,5634,10,0.085,10.3
6.974018353,5504,22,0.087,21.7
24.38684351,6008,-2,0.082,8.4
43.42111781,5963,18,0.083,9.1
30.91938585,5853,2,0.086,9.4
33.15951616,3137,54,0.119,17.1
21.06365829,4507,0,0.106,9.9
12.09586296,7754,2,0.072,8.9
23.51061753,6378,0,0.08,11.7
9.182518246,4268,34,0.102,42.1
22.13486552,5549,0,0.086,7.3
39.99593116,4548,4,0.096,9.9
17.05784921,2331,50,0.152,45.0
27.95191599,3386,50,0.136,15.0
27.34316674,4797,44,0.094,21.2
15.91056147,907,30,0.212,48.8
20.23601383,5613,0,0.086,15.3
22.05473876,5661,22,0.087,16.8
42.91058531,5543,0,0.089,10.3
33.76620215,5024,2,0.09,9.1
23.88153183,4625,-2,0.103,14.6
33.32713191,5590,28,0.087,11.9
25.23252093,5137,44,0.095,13.9
38.4266892,6289,0,0.082,8.1
-1.271482613,3024,36,0.132,45.0
23.90402936,4662,0,0.104,12.6
23.18706601,3870,2,0.118,9.3
17.82752975,5497,18,0.088,22.7
39.12598464,5246,0,0.095,8.9
1.699033624,5330,58,0.089,45.9
36.38462805,6041,4,0.085,13.1
-2.995752324,5592,-2,0.085,17.8
35.15293123,6239,20,0.081,8.6
35.83177546,4409,36,0.101,14.8
32.70658699,6332,4,0.082,10.9
-1.563440414,5637,4,0.084,30.1
17.65658093,1135,40,0.185,27.3
39.5490345,5615,38,0.087,10.6
26.22706981,5824,-2,0.084,10.4
6.052595131,5514,2,0.087,31.8
25.06819887,5246,36,0.093,12.4
38.1016525,5627,30,0.089,10.8
-9.381179345,5164,-2,0.087,19.7
38.433618,6376,14,0.082,6.0
