range,n,true_mean_cp,predicted_mean_cp,observed_rmse_cp,bootstrap_rmse_mean_cp,bootstrap_rmse_sd_cp,bootstrap_rmse_ci2_5_cp,bootstrap_rmse_ci97_5_cp
Low (<=15 cP),14,11.271428571428572,12.165135642857143,2.3505857388178049,2.2798947256422299,0.46238195976276031,1.306267465506916,3.1505615698727292
Mid (>15 to <=30 cP),6,20.233333333333334,22.457182666666665,5.3280554231170179,4.9561986778856673,1.9389032803415194,1.7726953946810289,8.4284341046578195
High (>30 cP),3,37.399999999999999,33.000750000000004,9.5712045596134168,8.7733326111549221,3.6363236523204585,2.7940230000000028,15.519289000000001
