endpoint,mode,pooling,fold,split,n,r2,rmse,mae,spearman,elapsed_seconds,ensemble_folds
viscosity,full,avg,1,cv_validation,26,0.5403290091113593,6.135861383674042,4.4576582101675175,0.8114950393431406,34.9455509185791,
viscosity,full,avg,2,cv_validation,26,0.5385758094875195,5.791704917505027,3.4766153922447787,0.8243151168321414,52.04517149925232,
viscosity,full,avg,3,cv_validation,26,-0.3367516731624871,8.055053658958736,5.330753509814922,0.7407091232830414,68.67615246772766,
viscosity,full,avg,4,cv_validation,26,0.7733065365205709,4.757014335442784,2.9569819377018858,0.9135961500657993,94.09045839309692,
viscosity,full,avg,5,cv_validation,26,0.48963339160838315,5.57086327953522,3.8835045117598312,0.6242942777423662,111.49182081222534,
viscosity,full,avg,ensemble,heldout_test,23,0.5813111185767645,8.28061633443854,5.7662446561067,0.6767489757972283,112.0221004486084,5.0
