endpoint,mode,pooling,fold,split,n,r2,rmse,mae,spearman,elapsed_seconds,ensemble_folds
clearance,full,avg,1,cv_validation,34,0.06586228110759018,205.03352352216507,155.68101657284006,0.5683277285233873,10.876529932022095,
clearance,full,avg,2,cv_validation,34,-0.2983125915960385,247.13700805348296,175.91646055692786,0.3934138141809291,22.160743236541748,
clearance,full,avg,3,cv_validation,34,0.12346293982339374,204.4489145176434,142.08897866641772,0.7642114914425429,38.764302015304565,
clearance,full,avg,4,cv_validation,33,0.3073652595751851,172.42195073996484,144.96283422111745,0.43433922622928783,46.603384256362915,
clearance,full,avg,5,cv_validation,33,0.4292301573460481,178.75342459817307,140.02090254350142,0.6094442144143577,59.087634325027466,
clearance,full,avg,ensemble,heldout_test,11,0.37531881117329136,228.0291243811373,170.83882475142047,0.5636363636363637,59.34047222137451,5.0
