endpoint,mode,pooling,fold,epoch,loss,val_loss
clearance,full,avg,1,1,0.2560858428478241,0.1268635243177414
clearance,full,avg,1,2,0.13314251601696014,0.12263919413089752
clearance,full,avg,1,3,0.12702955305576324,0.12618976831436157
clearance,full,avg,1,4,0.12705200910568237,0.11620865762233734
clearance,full,avg,1,5,0.12065032124519348,0.11847402155399323
clearance,full,avg,1,6,0.11754284054040909,0.11403921246528625
clearance,full,avg,1,7,0.11534393578767776,0.10850359499454498
clearance,full,avg,1,8,0.11247684061527252,0.10579736530780792
clearance,full,avg,1,9,0.11012599617242813,0.10520607233047485
clearance,full,avg,1,10,0.10818985849618912,0.10657013207674026
clearance,full,avg,1,11,0.10667867213487625,0.10314587503671646
clearance,full,avg,1,12,0.10408678650856018,0.10066971182823181
clearance,full,avg,1,13,0.102690190076828,0.09967698901891708
clearance,full,avg,1,14,0.10104771703481674,0.09822829812765121
clearance,full,avg,1,15,0.09956130385398865,0.09704851359128952
clearance,full,avg,1,16,0.09792769700288773,0.09954369068145752
clearance,full,avg,1,17,0.0976412296295166,0.09640605002641678
clearance,full,avg,1,18,0.09914242476224899,0.09678090363740921
clearance,full,avg,1,19,0.09407734125852585,0.09700435400009155
clearance,full,avg,1,20,0.09454166889190674,0.09437263756990433
clearance,full,avg,1,21,0.09080067276954651,0.08810728043317795
clearance,full,avg,1,22,0.0913100466132164,0.08926611393690109
clearance,full,avg,1,23,0.0934385433793068,0.09751342236995697
clearance,full,avg,1,24,0.08866780996322632,0.0880017876625061
clearance,full,avg,1,25,0.08717691153287888,0.08825252205133438
clearance,full,avg,1,26,0.08499251306056976,0.08845103532075882
clearance,full,avg,1,27,0.08505228161811829,0.09400852769613266
clearance,full,avg,1,28,0.0853993371129036,0.0890694186091423
clearance,full,avg,1,29,0.08456424623727798,0.08673806488513947
clearance,full,avg,1,30,0.08136138319969177,0.08575687557458878
clearance,full,avg,1,31,0.0816769003868103,0.08433070778846741
clearance,full,avg,1,32,0.07982762157917023,0.08093941956758499
clearance,full,avg,1,33,0.0785318985581398,0.08272320032119751
clearance,full,avg,1,34,0.07888475805521011,0.08442921191453934
clearance,full,avg,1,35,0.0781446248292923,0.08080669492483139
clearance,full,avg,1,36,0.07720174640417099,0.08871697634458542
clearance,full,avg,1,37,0.08022921532392502,0.07943850755691528
clearance,full,avg,1,38,0.07747025042772293,0.08124952018260956
clearance,full,avg,1,39,0.07635578513145447,0.08050668239593506
clearance,full,avg,1,40,0.07456168532371521,0.08363193273544312
clearance,full,avg,1,41,0.07468122988939285,0.08860573917627335
clearance,full,avg,1,42,0.07592135667800903,0.07744590193033218
clearance,full,avg,1,43,0.07259831577539444,0.08092689514160156
clearance,full,avg,1,44,0.07313038408756256,0.07675570249557495
clearance,full,avg,1,45,0.07068958133459091,0.08279966562986374
clearance,full,avg,1,46,0.07109731435775757,0.07744582742452621
clearance,full,avg,1,47,0.07181405276060104,0.07882702350616455
clearance,full,avg,1,48,0.07117627561092377,0.07895170152187347
clearance,full,avg,1,49,0.07278194278478622,0.07772289961576462
clearance,full,avg,1,50,0.07036220282316208,0.075229212641716
clearance,full,avg,1,51,0.06934075802564621,0.07741716504096985
clearance,full,avg,1,52,0.06859155744314194,0.07770533114671707
clearance,full,avg,1,53,0.07061191648244858,0.08202899992465973
clearance,full,avg,1,54,0.06983272731304169,0.07666260749101639
clearance,full,avg,1,55,0.06864959746599197,0.07622338831424713
clearance,full,avg,1,56,0.06669222563505173,0.07514462620019913
clearance,full,avg,1,57,0.06829030811786652,0.0758330374956131
