source_log,head,fold,epoch,max_epochs,loss,val_loss,lr
primary_viscosity_training_record,kan,1,78,1000,0.0409,0.0439,0.001
primary_viscosity_training_record,kan,1,79,1000,0.0409,0.045,0.001
primary_viscosity_training_record,kan,1,80,1000,0.04,0.0432,0.001
primary_viscosity_training_record,kan,1,81,1000,0.0405,0.0432,0.001
primary_viscosity_training_record,kan,1,82,1000,0.0398,0.0454,0.001
primary_viscosity_training_record,kan,1,83,1000,0.0396,0.0433,0.001
primary_viscosity_training_record,kan,1,84,1000,0.0396,0.0424,0.001
primary_viscosity_training_record,kan,1,85,1000,0.0391,0.044,0.001
primary_viscosity_training_record,kan,1,86,1000,0.0393,0.044,0.001
primary_viscosity_training_record,kan,1,87,1000,0.0384,0.0414,0.001
primary_viscosity_training_record,kan,1,88,1000,0.039,0.0427,0.001
primary_viscosity_training_record,kan,1,89,1000,0.0386,0.0445,0.001
primary_viscosity_training_record,kan,1,90,1000,0.038,0.0416,0.001
primary_viscosity_training_record,kan,1,91,1000,0.0379,0.0419,0.001
primary_viscosity_training_record,kan,1,92,1000,0.0376,0.0436,0.001
primary_viscosity_training_record,kan,1,93,1000,0.0373,0.0419,0.001
primary_viscosity_training_record,kan,1,94,1000,0.0373,0.0409,0.001
primary_viscosity_training_record,kan,1,95,1000,0.0371,0.0432,0.001
primary_viscosity_training_record,kan,1,96,1000,0.0368,0.042,0.001
primary_viscosity_training_record,kan,1,97,1000,0.0364,0.0407,0.001
primary_viscosity_training_record,kan,1,98,1000,0.0364,0.0413,0.001
primary_viscosity_training_record,kan,1,99,1000,0.036,0.0421,0.001
primary_viscosity_training_record,kan,1,100,1000,0.0361,0.0405,0.001
primary_viscosity_training_record,kan,1,101,1000,0.0357,0.0405,0.001
primary_viscosity_training_record,kan,1,102,1000,0.0356,0.0412,0.001
primary_viscosity_training_record,kan,1,103,1000,0.0355,0.0404,0.001
primary_viscosity_training_record,kan,1,104,1000,0.0352,0.0405,0.001
primary_viscosity_training_record,kan,1,105,1000,0.0349,0.0406,0.001
primary_viscosity_training_record,kan,1,106,1000,0.0348,0.0394,0.001
primary_viscosity_training_record,kan,1,107,1000,0.0348,0.0408,0.001
primary_viscosity_training_record,kan,1,108,1000,0.0343,0.0398,0.001
primary_viscosity_training_record,kan,1,109,1000,0.0344,0.0406,0.001
primary_viscosity_training_record,kan,1,110,1000,0.0339,0.0392,0.001
primary_viscosity_training_record,kan,1,111,1000,0.0339,0.0393,0.001
primary_viscosity_training_record,kan,1,112,1000,0.0336,0.0404,0.001
primary_viscosity_training_record,kan,1,113,1000,0.0334,0.0397,0.001
primary_viscosity_training_record,kan,1,114,1000,0.0332,0.0384,0.001
primary_viscosity_training_record,kan,1,115,1000,0.0331,0.0396,0.001
primary_viscosity_training_record,kan,1,116,1000,0.0328,0.0388,0.001
primary_viscosity_training_record,kan,1,117,1000,0.0325,0.0392,0.001
primary_viscosity_training_record,kan,1,118,1000,0.0326,0.0389,0.001
primary_viscosity_training_record,kan,1,119,1000,0.0325,0.0378,0.001
primary_viscosity_training_record,kan,1,120,1000,0.0323,0.0391,0.001
primary_viscosity_training_record,kan,1,121,1000,0.0321,0.0376,0.001
primary_viscosity_training_record,kan,1,122,1000,0.0318,0.0384,0.001
primary_viscosity_training_record,kan,1,123,1000,0.0314,0.0385,0.001
primary_viscosity_training_record,kan,1,124,1000,0.0314,0.0387,0.001
primary_viscosity_training_record,kan,1,125,1000,0.0313,0.0374,0.001
primary_viscosity_training_record,kan,1,126,1000,0.031,0.0385,0.001
primary_viscosity_training_record,kan,1,127,1000,0.0308,0.0381,0.001
primary_viscosity_training_record,kan,1,128,1000,0.0308,0.0376,0.001
primary_viscosity_training_record,kan,1,129,1000,0.0306,0.038,0.001
primary_viscosity_training_record,kan,1,130,1000,0.0307,0.0382,0.001
primary_viscosity_training_record,kan,1,131,1000,0.0303,0.0368,0.001
primary_viscosity_training_record,kan,1,132,1000,0.0303,0.0376,0.001
primary_viscosity_training_record,kan,1,133,1000,0.0301,0.0384,0.001
primary_viscosity_training_record,kan,1,134,1000,0.0299,0.0366,0.001
primary_viscosity_training_record,kan,1,135,1000,0.0298,0.0375,0.001
primary_viscosity_training_record,kan,1,136,1000,0.0295,0.0368,0.001
primary_viscosity_training_record,kan,1,137,1000,0.0292,0.0366,0.001
primary_viscosity_training_record,kan,1,138,1000,0.029,0.0368,0.001
primary_viscosity_training_record,kan,1,139,1000,0.0288,0.037,0.001
primary_viscosity_training_record,kan,1,140,1000,0.029,0.0361,0.001
primary_viscosity_training_record,kan,1,141,1000,0.0285,0.0373,0.001
primary_viscosity_training_record,kan,1,142,1000,0.0285,0.0367,0.001
primary_viscosity_training_record,kan,1,143,1000,0.0283,0.0358,0.001
primary_viscosity_training_record,kan,1,144,1000,0.0281,0.0361,0.001
primary_viscosity_training_record,kan,1,145,1000,0.028,0.0364,0.001
primary_viscosity_training_record,kan,1,146,1000,0.0278,0.0368,0.001
primary_viscosity_training_record,kan,1,147,1000,0.0276,0.0361,0.001
primary_viscosity_training_record,kan,1,148,1000,0.0275,0.0359,0.001
primary_viscosity_training_record,kan,1,149,1000,0.0273,0.0365,0.001
primary_viscosity_training_record,kan,1,150,1000,0.0272,0.036,0.001
primary_viscosity_training_record,kan,1,151,1000,0.027,0.0363,0.001
primary_viscosity_training_record,kan,1,152,1000,0.0269,0.036,0.001
primary_viscosity_training_record,kan,1,153,1000,0.0267,0.0365,0.001
primary_viscosity_training_record,kan,2,1,1000,0.132,0.0823,0.001
primary_viscosity_training_record,kan,2,2,1000,0.0925,0.1115,0.001
primary_viscosity_training_record,kan,2,3,1000,0.0902,0.0899,0.001
primary_viscosity_training_record,kan,2,4,1000,0.0743,0.0774,0.001
primary_viscosity_training_record,kan,2,5,1000,0.0704,0.0798,0.001
primary_viscosity_training_record,kan,2,6,1000,0.0699,0.0787,0.001
primary_viscosity_training_record,kan,2,7,1000,0.0645,0.0798,0.001
primary_viscosity_training_record,kan,2,8,1000,0.0639,0.0821,0.001
primary_viscosity_training_record,kan,2,9,1000,0.0629,0.0783,0.001
primary_viscosity_training_record,kan,2,10,1000,0.0607,0.0755,0.001
primary_viscosity_training_record,kan,2,11,1000,0.0607,0.0739,0.001
primary_viscosity_training_record,kan,2,12,1000,0.0598,0.0729,0.001
primary_viscosity_training_record,kan,2,13,1000,0.0586,0.0735,0.001
primary_viscosity_training_record,kan,2,14,1000,0.0584,0.0724,0.001
primary_viscosity_training_record,kan,2,15,1000,0.0577,0.0705,0.001
primary_viscosity_training_record,kan,2,16,1000,0.0572,0.0691,0.001
primary_viscosity_training_record,kan,2,17,1000,0.0568,0.069,0.001
primary_viscosity_training_record,kan,2,18,1000,0.0561,0.0694,0.001
primary_viscosity_training_record,kan,2,19,1000,0.0558,0.0691,0.001
primary_viscosity_training_record,kan,2,20,1000,0.0552,0.069,0.001
primary_viscosity_training_record,kan,2,21,1000,0.0548,0.0684,0.001
primary_viscosity_training_record,kan,2,22,1000,0.0544,0.0681,0.001
primary_viscosity_training_record,kan,2,23,1000,0.054,0.0676,0.001
primary_viscosity_training_record,kan,2,24,1000,0.0536,0.0677,0.001
primary_viscosity_training_record,kan,2,25,1000,0.0531,0.0666,0.001
primary_viscosity_training_record,kan,2,26,1000,0.0527,0.0659,0.001
primary_viscosity_training_record,kan,2,27,1000,0.0523,0.0653,0.001
primary_viscosity_training_record,kan,2,28,1000,0.052,0.0654,0.001
primary_viscosity_training_record,kan,2,29,1000,0.0516,0.0641,0.001
primary_viscosity_training_record,kan,2,30,1000,0.0511,0.0638,0.001
primary_viscosity_training_record,kan,2,31,1000,0.0509,0.0643,0.001
primary_viscosity_training_record,kan,2,32,1000,0.0503,0.0632,0.001
primary_viscosity_training_record,kan,2,33,1000,0.0499,0.0623,0.001
primary_viscosity_training_record,kan,2,34,1000,0.0496,0.0623,0.001
primary_viscosity_training_record,kan,2,35,1000,0.0491,0.0625,0.001
primary_viscosity_training_record,kan,2,36,1000,0.049,0.0626,0.001
primary_viscosity_training_record,kan,2,37,1000,0.0484,0.0606,0.001
primary_viscosity_training_record,kan,2,38,1000,0.0481,0.0601,0.001
primary_viscosity_training_record,kan,2,39,1000,0.0477,0.0606,0.001
primary_viscosity_training_record,kan,2,40,1000,0.0473,0.0615,0.001
primary_viscosity_training_record,kan,2,41,1000,0.0471,0.0604,0.001
primary_viscosity_training_record,kan,2,42,1000,0.0465,0.059,0.001
primary_viscosity_training_record,kan,2,43,1000,0.0463,0.0583,0.001
primary_viscosity_training_record,kan,2,44,1000,0.046,0.0591,0.001
primary_viscosity_training_record,kan,2,45,1000,0.0456,0.0586,0.001
primary_viscosity_training_record,kan,2,46,1000,0.0458,0.0573,0.001
primary_viscosity_training_record,kan,2,47,1000,0.0448,0.059,0.001
primary_viscosity_training_record,kan,2,48,1000,0.0448,0.0592,0.001
primary_viscosity_training_record,kan,2,49,1000,0.0444,0.0562,0.001
primary_viscosity_training_record,kan,2,50,1000,0.044,0.0564,0.001
primary_viscosity_training_record,kan,2,51,1000,0.0435,0.0573,0.001
primary_viscosity_training_record,kan,2,52,1000,0.0432,0.0568,0.001
primary_viscosity_training_record,kan,2,53,1000,0.0429,0.0565,0.001
primary_viscosity_training_record,kan,2,54,1000,0.0427,0.0559,0.001
primary_viscosity_training_record,kan,2,55,1000,0.0424,0.0548,0.001
primary_viscosity_training_record,kan,2,56,1000,0.042,0.0553,0.001
