source_log,head,fold,epoch,max_epochs,loss,val_loss,lr
primary_mouse_exposure_training_record,spline,1,72,1000,0.0683,0.0652,0.001
primary_mouse_exposure_training_record,spline,1,73,1000,0.0677,0.0699,0.001
primary_mouse_exposure_training_record,spline,1,74,1000,0.0629,0.066,0.001
primary_mouse_exposure_training_record,spline,1,75,1000,0.0638,0.0693,0.001
primary_mouse_exposure_training_record,spline,1,76,1000,0.0635,0.0644,0.001
primary_mouse_exposure_training_record,spline,1,77,1000,0.0621,0.065,0.001
primary_mouse_exposure_training_record,spline,1,78,1000,0.0606,0.0665,0.001
primary_mouse_exposure_training_record,spline,1,79,1000,0.0607,0.0656,0.001
primary_mouse_exposure_training_record,spline,1,80,1000,0.0605,0.0675,0.001
primary_mouse_exposure_training_record,spline,1,81,1000,0.0615,0.0631,0.001
primary_mouse_exposure_training_record,spline,1,82,1000,0.0604,0.0617,0.001
primary_mouse_exposure_training_record,spline,1,83,1000,0.0604,0.0646,0.001
primary_mouse_exposure_training_record,spline,1,84,1000,0.0593,0.0629,0.001
primary_mouse_exposure_training_record,spline,1,85,1000,0.059,0.0642,0.001
primary_mouse_exposure_training_record,spline,1,86,1000,0.0581,0.0618,0.001
primary_mouse_exposure_training_record,spline,1,87,1000,0.058,0.063,0.001
primary_mouse_exposure_training_record,spline,1,88,1000,0.0582,0.062,0.001
primary_mouse_exposure_training_record,spline,1,89,1000,0.0592,0.0616,0.001
primary_mouse_exposure_training_record,spline,1,90,1000,0.0578,0.0622,0.001
primary_mouse_exposure_training_record,spline,1,91,1000,0.0589,0.0642,0.001
primary_mouse_exposure_training_record,spline,1,92,1000,0.0579,0.0641,0.001
primary_mouse_exposure_training_record,spline,1,93,1000,0.0597,0.0627,0.0005
primary_mouse_exposure_training_record,spline,1,94,1000,0.0562,0.0593,0.0005
primary_mouse_exposure_training_record,spline,1,95,1000,0.057,0.0604,0.0005
primary_mouse_exposure_training_record,spline,1,96,1000,0.0555,0.0641,0.0005
primary_mouse_exposure_training_record,spline,1,97,1000,0.0565,0.0601,0.0005
primary_mouse_exposure_training_record,spline,1,98,1000,0.0553,0.0594,0.0005
primary_mouse_exposure_training_record,spline,1,99,1000,0.0554,0.0597,0.0005
primary_mouse_exposure_training_record,spline,1,100,1000,0.0551,0.0594,0.0005
primary_mouse_exposure_training_record,spline,1,101,1000,0.0548,0.0586,0.0005
primary_mouse_exposure_training_record,spline,1,102,1000,0.0547,0.0596,0.0005
primary_mouse_exposure_training_record,spline,1,103,1000,0.0552,0.0613,0.0005
primary_mouse_exposure_training_record,spline,1,104,1000,0.0544,0.0591,0.0005
primary_mouse_exposure_training_record,spline,1,105,1000,0.0545,0.0597,0.0005
primary_mouse_exposure_training_record,spline,1,106,1000,0.0543,0.061,0.0005
primary_mouse_exposure_training_record,spline,1,107,1000,0.0539,0.0587,0.0005
primary_mouse_exposure_training_record,spline,1,108,1000,0.0544,0.0595,0.0005
primary_mouse_exposure_training_record,spline,1,109,1000,0.0539,0.0614,0.0005
primary_mouse_exposure_training_record,spline,1,110,1000,0.0535,0.0587,0.0005
primary_mouse_exposure_training_record,spline,1,111,1000,0.0534,0.0597,0.0005
primary_mouse_exposure_training_record,spline,1,112,1000,0.0531,0.0596,0.00025
primary_mouse_exposure_training_record,spline,1,113,1000,0.0532,0.0594,0.00025
primary_mouse_exposure_training_record,spline,1,114,1000,0.053,0.0594,0.00025
primary_mouse_exposure_training_record,spline,1,115,1000,0.053,0.06,0.00025
primary_mouse_exposure_training_record,spline,1,116,1000,0.053,0.0586,0.00025
primary_mouse_exposure_training_record,spline,1,117,1000,0.0528,0.0585,0.00025
primary_mouse_exposure_training_record,spline,1,118,1000,0.0528,0.0593,0.00025
primary_mouse_exposure_training_record,spline,1,119,1000,0.0526,0.0588,0.00025
primary_mouse_exposure_training_record,spline,1,120,1000,0.0526,0.058,0.00025
primary_mouse_exposure_training_record,spline,1,121,1000,0.0523,0.0585,0.00025
primary_mouse_exposure_training_record,spline,1,122,1000,0.0523,0.0586,0.00025
primary_mouse_exposure_training_record,spline,1,123,1000,0.0523,0.0585,0.00025
primary_mouse_exposure_training_record,spline,1,124,1000,0.0523,0.0576,0.00025
primary_mouse_exposure_training_record,spline,1,125,1000,0.0521,0.0589,0.00025
primary_mouse_exposure_training_record,spline,1,126,1000,0.0523,0.0586,0.00025
primary_mouse_exposure_training_record,spline,1,127,1000,0.052,0.057,0.00025
primary_mouse_exposure_training_record,spline,1,128,1000,0.0521,0.0585,0.00025
primary_mouse_exposure_training_record,spline,1,129,1000,0.0522,0.0586,0.00025
primary_mouse_exposure_training_record,spline,1,130,1000,0.0518,0.0573,0.00025
primary_mouse_exposure_training_record,spline,1,131,1000,0.0518,0.0583,0.00025
primary_mouse_exposure_training_record,spline,1,132,1000,0.0518,0.06,0.00025
primary_mouse_exposure_training_record,spline,1,133,1000,0.0517,0.0581,0.00025
primary_mouse_exposure_training_record,spline,1,134,1000,0.0516,0.0579,0.00025
primary_mouse_exposure_training_record,spline,1,135,1000,0.0516,0.0582,0.00025
primary_mouse_exposure_training_record,spline,1,136,1000,0.0514,0.0591,0.00025
primary_mouse_exposure_training_record,spline,1,137,1000,0.0514,0.0581,0.00025
primary_mouse_exposure_training_record,spline,1,138,1000,0.0511,0.058,0.000125
primary_mouse_exposure_training_record,spline,1,139,1000,0.0511,0.0584,0.000125
primary_mouse_exposure_training_record,spline,1,140,1000,0.0511,0.0577,0.000125
primary_mouse_exposure_training_record,spline,1,141,1000,0.0512,0.0571,0.000125
primary_mouse_exposure_training_record,spline,1,142,1000,0.0511,0.0574,0.000125
primary_mouse_exposure_training_record,spline,1,143,1000,0.0509,0.057,0.000125
primary_mouse_exposure_training_record,spline,1,144,1000,0.0509,0.0575,0.000125
primary_mouse_exposure_training_record,spline,1,145,1000,0.0509,0.0575,0.000125
primary_mouse_exposure_training_record,spline,1,146,1000,0.0508,0.0574,0.000125
primary_mouse_exposure_training_record,spline,1,147,1000,0.0508,0.0572,0.000125
primary_mouse_exposure_training_record,spline,1,148,1000,0.0507,0.0573,6.25e-05
primary_mouse_exposure_training_record,spline,1,149,1000,0.0507,0.0572,6.25e-05
primary_mouse_exposure_training_record,spline,1,150,1000,0.0506,0.0571,6.25e-05
primary_mouse_exposure_training_record,spline,1,151,1000,0.0506,0.0572,6.25e-05
