endpoint,model,n,r2,rmse,mae,spearman_rho,nrmse,nmae
viscosity,Ridge,23,0.52881179845443,6.4273774297064765,5.07174496335197,0.7872498387109924,,
viscosity,SVR,23,0.30576609810362976,7.8017047144917875,6.335673918452665,0.7244872966417546,,
viscosity,RandomForest,23,0.37160394674432884,7.422553286994631,5.323864407364106,0.7571040507879726,,
mouse_exposure,Ridge,11,0.5320123048130414,169.11525932886119,130.19452868335622,0.7636363636363637,0.22479377568200867,0.17305901189530645
mouse_exposure,SVR,11,0.7311482903628999,128.18050551536055,101.06299021541285,0.7818181818181819,0.17038190354895438,0.1343363765185644
mouse_exposure,RandomForest,11,0.6134321687831075,153.70161617632144,115.82442141292603,0.6545454545454547,0.20430543503773407,0.15395777476806513
