endpoint,model,fold,r2,rmse,mae,spearman_rho
viscosity,Ridge,1,0.6071905873424174,6.246321082987212,4.9491058035241915,0.8081465119211196
viscosity,Ridge,2,0.3109897669480498,7.492202140161097,6.177330117579445,0.5829198098471802
viscosity,Ridge,3,0.6254857437688828,6.874236174405515,5.371285381613295,0.8349317026955809
viscosity,Ridge,4,0.5367664310536614,7.9579255450049855,6.122603437678062,0.7440109949732877
viscosity,Ridge,5,0.585549322339057,6.466350101264635,5.055445897843017,0.7084189326562583
viscosity,SVR,1,0.827222403940703,4.1426388654662,2.882799192402687,0.8588054207581911
viscosity,SVR,2,0.7907477965848473,4.128874382590479,2.8534745367297316,0.7838440191133542
viscosity,SVR,3,0.4240061123257336,8.525094644946147,5.017478846355356,0.7726029209521045
viscosity,SVR,4,0.6971006543734871,6.435007052947647,3.864592161983754,0.8596851975036334
viscosity,SVR,5,0.7103463997316561,5.405828367457695,4.11688847264663,0.8032170217121924
viscosity,RandomForest,1,0.5551760123399423,6.647027281735402,4.081259615384602,0.8485367230209468
viscosity,RandomForest,2,0.8063786618879254,3.9716709354648136,3.3103126760563173,0.7448229631400257
viscosity,RandomForest,3,0.7674907240114487,5.41639606241221,3.674136458237822,0.903424869446654
viscosity,RandomForest,4,0.7708004421356316,5.5976629828282585,4.283079070321145,0.8258042920287688
viscosity,RandomForest,5,0.5936554027979157,6.40280141587479,4.609086567873911,0.6937029838136404
mouse_exposure,Ridge,1,0.19084235992133458,186.24896867999243,139.31849265432538,0.3757066462948816
mouse_exposure,Ridge,2,0.2905249977977008,181.89445672642796,145.9788324211113,0.42127789666768567
mouse_exposure,Ridge,3,0.4183021097924734,173.73392721631814,141.70856386882284,0.6637627999388661
mouse_exposure,Ridge,4,0.5077492357478082,197.13460181003043,160.71162205723152,0.8304631332553083
mouse_exposure,Ridge,5,0.02657361533187097,214.61387036302273,168.87224260790393,0.36365156328373177
mouse_exposure,SVR,1,0.4685535485775627,150.94094435687765,112.5281368562689,0.6232238349885408
mouse_exposure,SVR,2,0.33273970346215653,176.39999037384487,119.31888599346195,0.6572913482115561
mouse_exposure,SVR,3,0.4763327237943549,164.84038131930586,134.08218516899348,0.7004432217637171
mouse_exposure,SVR,4,0.4977667087322758,199.12345036742715,148.5881342879779,0.7030596890152148
mouse_exposure,SVR,5,0.44321602964448237,162.3116122765165,118.7435290716511,0.636850025079418
mouse_exposure,RandomForest,1,0.6114673118875855,129.0598299265947,97.20828055945819,0.7246753246753245
mouse_exposure,RandomForest,2,0.37112256359047635,171.2513175417439,132.25489872887383,0.5628248242127789
mouse_exposure,RandomForest,3,0.5407116538447128,154.37558115303477,112.25433813997248,0.7328442610423355
mouse_exposure,RandomForest,4,0.6898424757561972,156.48071473694955,114.56209974999467,0.8628991807390067
mouse_exposure,RandomForest,5,0.0961753360672416,206.7989475064456,147.51717221933222,0.6157833138271191
mouse_exposure,RandomForest,mean +/- SD,0.4618638682 +/- 0.2358678105,163.5932782 +/- 28.51968169,120.7593579 +/- 19.45200953,0.6998053809 +/- 0.1163325512
mouse_exposure,Ridge,mean +/- SD,0.2867984637 +/- 0.1891103416,190.725165 +/- 15.79929609,151.3179507 +/- 12.85717425,0.5309724079 +/- 0.2070414152
mouse_exposure,SVR,mean +/- SD,0.4437217428 +/- 0.06503503249,170.7232757 +/- 18.27224789,126.6521743 +/- 14.59626341,0.6641736238 +/- 0.03639519121
viscosity,RandomForest,mean +/- SD,0.6987002486 +/- 0.1152809981,5.607111736 +/- 1.051864389,3.991574878 +/- 0.5097117008,0.8032583663 +/- 0.08367923112
viscosity,Ridge,mean +/- SD,0.5331963703 +/- 0.1285708211,7.007407009 +/- 0.7120815687,5.535154128 +/- 0.5826474671,0.7356855904 +/- 0.09905874854
viscosity,SVR,mean +/- SD,0.6898846734 +/- 0.1582696937,5.727488663 +/- 1.836978725,3.747046642 +/- 0.9096692636,0.815630916 +/- 0.04129387825
