endpoint,model,expected_cv_r2_mean,reproduced_cv_r2_mean,cv_r2_mean_abs_diff,expected_heldout_r2,reproduced_heldout_r2,heldout_r2_abs_diff,absolute_tolerance,pass
viscosity,Ridge,0.5328201791584208,0.5328201791584208,0.0,0.5264622675419364,0.5264622675419364,0.0,0.0005,True
viscosity,SVR,0.4350214532703358,0.4350214532703358,0.0,0.5359926089163654,0.5359926089163654,0.0,0.0005,True
viscosity,RandomForest,0.6779736471707093,0.6779736471707093,0.0,0.4787263035725099,0.4787263035725099,0.0,0.0005,True
mouse_exposure,Ridge,0.26957417321345606,0.26957265629949234,1.5169139637172258e-06,0.5984559311015807,0.5984557747000114,1.5640156925122994e-07,0.0005,True
mouse_exposure,SVR,-0.033496976933374015,-0.033496976933374015,0.0,0.02337111820157467,0.02337111820157467,0.0,0.0005,True
mouse_exposure,RandomForest,0.41710881436526187,0.4169488181191242,0.0001599962461376614,0.6222425119900954,0.6219100828701729,0.0003324291199224838,0.0005,True
