endpoint,mode,pooling,fold,epoch,loss,val_loss
viscosity,full,avg,1,1,0.24528074264526367,0.10623396188020706
viscosity,full,avg,1,2,0.10787910968065262,0.07608912885189056
viscosity,full,avg,1,3,0.09241228550672531,0.09957432001829147
viscosity,full,avg,1,4,0.1017952486872673,0.08916987478733063
viscosity,full,avg,1,5,0.08840321749448776,0.07473744451999664
viscosity,full,avg,1,6,0.0804520696401596,0.06941665709018707
viscosity,full,avg,1,7,0.07971970736980438,0.06685490906238556
viscosity,full,avg,1,8,0.07667473703622818,0.0628550574183464
viscosity,full,avg,1,9,0.07055273652076721,0.06329900026321411
viscosity,full,avg,1,10,0.06834764033555984,0.06497850269079208
viscosity,full,avg,1,11,0.06812738627195358,0.06140810251235962
viscosity,full,avg,1,12,0.06520625948905945,0.057979755103588104
viscosity,full,avg,1,13,0.06476590782403946,0.05738339200615883
viscosity,full,avg,1,14,0.06383149325847626,0.057396743446588516
viscosity,full,avg,1,15,0.06329042464494705,0.05996165797114372
viscosity,full,avg,1,16,0.06284797936677933,0.05758458003401756
viscosity,full,avg,1,17,0.061405427753925323,0.05634426325559616
viscosity,full,avg,1,18,0.06094633415341377,0.05563053861260414
viscosity,full,avg,1,19,0.06063450127840042,0.055495236068964005
viscosity,full,avg,1,20,0.05983516201376915,0.05661407485604286
viscosity,full,avg,1,21,0.05951705574989319,0.056360285729169846
viscosity,full,avg,1,22,0.059058286249637604,0.0553903803229332
viscosity,full,avg,1,23,0.058642204850912094,0.05491618067026138
viscosity,full,avg,1,24,0.05804278329014778,0.05569598451256752
viscosity,full,avg,1,25,0.05786972865462303,0.055138424038887024
viscosity,full,avg,1,26,0.057346951216459274,0.055213216692209244
viscosity,full,avg,1,27,0.05702216178178787,0.054352663457393646
viscosity,full,avg,1,28,0.05661733075976372,0.05494607985019684
viscosity,full,avg,1,29,0.0561830960214138,0.05389780551195145
viscosity,full,avg,1,30,0.055861372500658035,0.05317872390151024
viscosity,full,avg,1,31,0.05568002909421921,0.054015807807445526
viscosity,full,avg,1,32,0.05509841442108154,0.05344115197658539
viscosity,full,avg,1,33,0.05477098003029823,0.0525781512260437
viscosity,full,avg,1,34,0.05440092459321022,0.05326802283525467
viscosity,full,avg,1,35,0.054102566093206406,0.05355276167392731
viscosity,full,avg,1,36,0.053889356553554535,0.05347716063261032
viscosity,full,avg,1,37,0.05348857492208481,0.051314737647771835
viscosity,full,avg,1,38,0.053132060915231705,0.05181267485022545
viscosity,full,avg,1,39,0.05266248807311058,0.05227771773934364
viscosity,full,avg,1,40,0.052440524101257324,0.052126094698905945
viscosity,full,avg,1,41,0.051957327872514725,0.051477111876010895
viscosity,full,avg,1,42,0.05199059098958969,0.051601435989141464
viscosity,full,avg,1,43,0.05142223462462425,0.04984058439731598
viscosity,full,avg,1,44,0.051104288548231125,0.051372941583395004
viscosity,full,avg,1,45,0.05102140083909035,0.05112163722515106
viscosity,full,avg,1,46,0.050603725016117096,0.04902415722608566
viscosity,full,avg,1,47,0.05002501606941223,0.05074939504265785
viscosity,full,avg,1,48,0.05012856423854828,0.05205563083291054
viscosity,full,avg,1,49,0.05009402707219124,0.04819248616695404
viscosity,full,avg,1,50,0.049285873770713806,0.049917615950107574
viscosity,full,avg,1,51,0.04863980785012245,0.051082395017147064
viscosity,full,avg,1,52,0.04848987236618996,0.04933517798781395
viscosity,full,avg,1,53,0.04815042018890381,0.0481799840927124
viscosity,full,avg,1,54,0.04759570211172104,0.04967665672302246
viscosity,full,avg,1,55,0.04774099215865135,0.04897585138678551
viscosity,full,avg,1,56,0.04710913076996803,0.048822447657585144
viscosity,full,avg,1,57,0.04680496081709862,0.047314830124378204
viscosity,full,avg,1,58,0.04656975343823433,0.04788828268647194
viscosity,full,avg,1,59,0.045920561999082565,0.04934559762477875
viscosity,full,avg,1,60,0.045942191034555435,0.04734581708908081
viscosity,full,avg,1,61,0.04546083137392998,0.046617116779088974
viscosity,full,avg,1,62,0.0454355925321579,0.0472077950835228
viscosity,full,avg,1,63,0.0449223667383194,0.045852430164813995
viscosity,full,avg,1,64,0.044620614498853683,0.0471707321703434
viscosity,full,avg,1,65,0.044283486902713776,0.046559691429138184
viscosity,full,avg,1,66,0.04409506544470787,0.045469485223293304
viscosity,full,avg,1,67,0.04375442862510681,0.04653380811214447
viscosity,full,avg,1,68,0.043656397610902786,0.04529135674238205
